Year,Category,Status,Amount
2021-02,Category B,Vehicle Registration,2099.0
2021-02,Category A,Vehicle Registration,1537.0
2021-03,Category B,Vehicle Registration,2694.0
2021-03,Category D,Vehicle Registration,1146.0
2021-03,Category A,Vehicle Registration,1888.0
2021-04,Category B,Vehicle Registration,2348.0
2021-04,Category D,Vehicle Registration,1072.0
2021-04,Category A,Vehicle Registration,1683.0
2021-05,Category B,Vehicle Registration,2240.0
2021-05,Category A,Vehicle Registration,1519.0
2021-05,Category D,Vehicle Registration,945.0
2021-06,Category D,Vehicle Registration,868.0
2021-06,Category B,Vehicle Registration,2484.0
2021-06,Category A,Vehicle Registration,1932.0
2021-07,Category D,Vehicle Registration,1078.0
2021-07,Category A,Vehicle Registration,1598.0
2021-07,Category B,Vehicle Registration,1809.0
2021-08,Category D,Vehicle Registration,981.0
2021-08,Category B,Vehicle Registration,2241.0
2021-08,Category A,Vehicle Registration,1251.0
2021-09,Category A,Vehicle Registration,1484.0
2021-09,Category D,Vehicle Registration,900.0
2021-09,Category B,Vehicle Registration,2403.0
2021-10,Category D,Vehicle Registration,794.0
2021-10,Category B,Vehicle Registration,1472.0
2021-10,Category A,Vehicle Registration,1470.0
2021-11,Category D,Vehicle Registration,849.0
2021-11,Category A,Vehicle Registration,1352.0
2021-11,Category B,Vehicle Registration,1594.0
2021-12,Category B,Vehicle Registration,1696.0
2021-12,Category A,Vehicle Registration,1191.0
2021-12,Category D,Vehicle Registration,955.0
2016-01,Category A,Vehicle Deregistration,4497.0
2016-01,Category B,Vehicle Deregistration,3060.0
2016-01,Category D,Vehicle Deregistration,707.0
2016-02,Category A,Vehicle Deregistration,4105.0
2016-02,Category B,Vehicle Deregistration,2579.0
2016-02,Category D,Vehicle Deregistration,804.0
2016-03,Category A,Vehicle Deregistration,5937.0
2016-03,Category B,Vehicle Deregistration,3890.0
2016-03,Category D,Vehicle Deregistration,1008.0
2016-04,Category A,Vehicle Deregistration,4575.0
2016-04,Category B,Vehicle Deregistration,3011.0
2016-04,Category D,Vehicle Deregistration,688.0
2016-05,Category A,Vehicle Deregistration,4493.0
2016-05,Category B,Vehicle Deregistration,2957.0
2016-05,Category D,Vehicle Deregistration,781.0
2016-06,Category A,Vehicle Deregistration,4064.0
2016-06,Category B,Vehicle Deregistration,2712.0
2016-06,Category D,Vehicle Deregistration,794.0
2016-07,Category A,Vehicle Deregistration,4244.0
2016-07,Category B,Vehicle Deregistration,2652.0
2016-07,Category D,Vehicle Deregistration,730.0
2016-08,Category A,Vehicle Deregistration,4027.0
2016-08,Category B,Vehicle Deregistration,2666.0
2016-08,Category D,Vehicle Deregistration,712.0
2016-09,Category A,Vehicle Deregistration,3798.0
2016-09,Category B,Vehicle Deregistration,2756.0
2016-09,Category D,Vehicle Deregistration,751.0
2016-10,Category A,Vehicle Deregistration,4475.0
2016-10,Category B,Vehicle Deregistration,2875.0
2016-10,Category D,Vehicle Deregistration,742.0
2016-11,Category A,Vehicle Deregistration,4463.0
2016-11,Category B,Vehicle Deregistration,3115.0
2016-11,Category D,Vehicle Deregistration,761.0
2016-12,Category A,Vehicle Deregistration,4513.0
2016-12,Category B,Vehicle Deregistration,2853.0
2016-12,Category D,Vehicle Deregistration,687.0
2017-01,Category A,Vehicle Deregistration,4389.0
2017-01,Category B,Vehicle Deregistration,2916.0
2017-01,Category D,Vehicle Deregistration,846.0
2017-02,Category A,Vehicle Deregistration,3588.0
2017-02,Category B,Vehicle Deregistration,2570.0
2017-02,Category D,Vehicle Deregistration,710.0
2017-03,Category A,Vehicle Deregistration,4428.0
2017-03,Category B,Vehicle Deregistration,3107.0
2017-03,Category D,Vehicle Deregistration,1023.0
2017-04,Category A,Vehicle Deregistration,3914.0
2017-04,Category B,Vehicle Deregistration,2585.0
2017-04,Category D,Vehicle Deregistration,969.0
2017-05,Category A,Vehicle Deregistration,4074.0
2017-05,Category B,Vehicle Deregistration,2962.0
2017-05,Category D,Vehicle Deregistration,878.0
2017-06,Category A,Vehicle Deregistration,3886.0
2017-06,Category B,Vehicle Deregistration,2813.0
2017-06,Category D,Vehicle Deregistration,916.0
2017-07,Category A,Vehicle Deregistration,3762.0
2017-07,Category B,Vehicle Deregistration,2995.0
2017-07,Category D,Vehicle Deregistration,848.0
2017-08,Category A,Vehicle Deregistration,3720.0
2017-08,Category B,Vehicle Deregistration,2945.0
2017-08,Category D,Vehicle Deregistration,1044.0
2017-09,Category A,Vehicle Deregistration,3495.0
2017-09,Category B,Vehicle Deregistration,3019.0
2017-09,Category D,Vehicle Deregistration,914.0
2017-10,Category A,Vehicle Deregistration,3554.0
2017-10,Category B,Vehicle Deregistration,3055.0
2017-10,Category D,Vehicle Deregistration,936.0
2017-11,Category A,Vehicle Deregistration,3371.0
2017-11,Category B,Vehicle Deregistration,2939.0
2017-11,Category D,Vehicle Deregistration,784.0
2017-12,Category A,Vehicle Deregistration,3440.0
